x,y,z
0.9100000000000004,0.0099999999999999,1.0500000000000005
1.0000000000000004,-0.05,0.99
0.7600000000000003,0.1299999999999999,0.93
0.7900000000000004,0.0099999999999999,0.9
0.7900000000000004,0.0999999999999999,0.96
0.8500000000000004,-0.08,1.02
0.5200000000000001,-0.02,0.99
0.7600000000000003,0.07,1.02
0.5200000000000001,0.0099999999999999,0.87
0.8500000000000004,-0.05,0.96
1.0900000000000007,-0.02,0.93
0.5200000000000001,-0.05,0.87
0.8500000000000004,-0.05,1.0500000000000005
1.0000000000000004,0.0399999999999999,0.87
0.7600000000000003,0.0999999999999999,0.9
0.6100000000000002,-0.02,0.87
0.8200000000000004,0.07,1.02
0.7600000000000003,-0.02,1.08
0.8500000000000004,0.0099999999999999,0.93
0.7000000000000003,-0.08,0.9
0.8200000000000004,0.0999999999999999,0.9
0.9700000000000004,-0.02,0.96
0.7900000000000004,0.0099999999999999,1.08
0.9100000000000004,-0.02,0.87
0.6700000000000003,0.07,0.9
0.43,0.0099999999999999,0.93
0.5500000000000002,0.0399999999999999,0.9
0.7900000000000004,-0.02,1.02
0.7000000000000003,-0.11,0.87
0.7600000000000003,0.0099999999999999,1.02
0.7000000000000003,0.07,0.99
0.9700000000000004,0.0999999999999999,0.9
0.6700000000000003,0.0099999999999999,0.93
0.7600000000000003,-0.02,0.99
0.6700000000000003,-0.05,0.93
0.9400000000000004,-0.02,0.9
0.8200000000000004,-0.05,0.96
0.8200000000000004,0.07,0.93
0.8200000000000004,-0.05,1.0500000000000005
0.7300000000000003,0.0399999999999999,0.96
0.7300000000000003,-0.11,0.9
0.7300000000000003,0.0399999999999999,1.0500000000000005
0.6400000000000002,-0.14,0.87
0.8200000000000004,0.0099999999999999,1.02
0.7600000000000003,-0.05,1.0500000000000005
0.8800000000000004,0.0399999999999999,0.96
0.7900000000000004,-0.14,0.87
0.4900000000000001,-0.02,0.9
0.9100000000000004,0.0099999999999999,1.02
0.7000000000000003,0.0399999999999999,0.9
0.6700000000000003,-0.08,0.9
0.5200000000000001,0.0099999999999999,0.96
0.9100000000000004,0.0999999999999999,0.87
0.5200000000000001,-0.05,0.96
1.0000000000000004,0.0399999999999999,0.96
1.0300000000000007,-0.02,0.87
0.7600000000000003,0.0099999999999999,0.93
0.7900000000000004,-0.02,0.93
0.7600000000000003,0.0999999999999999,0.99
0.9700000000000004,0.0099999999999999,1.02
0.8500000000000004,-0.05,1.02
0.9700000000000004,-0.05,1.02
0.6100000000000002,-0.02,1.0500000000000005
0.7600000000000003,-0.02,0.87
0.8500000000000004,0.07,0.9
0.8200000000000004,0.0099999999999999,0.93
0.7000000000000003,-0.08,0.99
0.6400000000000002,0.1299999999999999,0.87
0.5800000000000002,-0.11,0.9
0.7900000000000004,0.0099999999999999,0.87
0.9100000000000004,0.0099999999999999,0.93
1.0900000000000007,-0.02,0.9
0.7900000000000004,0.0999999999999999,0.93
0.6400000000000002,-0.02,0.9
0.8800000000000004,-0.02,0.87
0.9100000000000004,-0.02,0.96
0.6700000000000003,0.07,0.99
0.5500000000000002,0.0399999999999999,0.99
0.9100000000000004,-0.02,1.0500000000000005
0.9700000000000004,0.0099999999999999,0.93
0.8500000000000004,-0.05,0.93
0.9700000000000004,-0.05,0.93
0.7600000000000003,0.0999999999999999,0.87
0.9400000000000004,-0.02,0.99
0.9400000000000004,0.0099999999999999,0.87
0.9400000000000004,-0.05,0.87
0.7900000000000004,0.07,0.96
0.8200000000000004,-0.05,1.02
0.7000000000000003,-0.08,0.87
0.8200000000000004,0.0999999999999999,0.87
0.9400000000000004,0.0999999999999999,0.93
0.7900000000000004,-0.05,0.99
0.7300000000000003,0.0399999999999999,1.02
0.6700000000000003,0.0399999999999999,0.9
0.8500000000000004,-0.08,0.9
0.7000000000000003,0.0399999999999999,0.99
0.7600000000000003,-0.05,1.02
0.6700000000000003,-0.08,0.99
0.4900000000000001,-0.05,0.87
0.7600000000000003,0.07,0.9
0.5200000000000001,0.07,0.93
0.7600000000000003,-0.14,0.9
0.4600000000000001,-0.02,0.93
0.43,0.0099999999999999,0.9
0.5200000000000001,0.0099999999999999,1.02
0.5500000000000002,0.0399999999999999,0.87
0.5800000000000002,-0.02,1.0500000000000005
0.9700000000000004,0.0999999999999999,0.87
0.8200000000000004,0.07,0.9
0.7600000000000003,-0.02,0.96
1.0600000000000005,-0.02,0.9
0.8500000000000004,0.07,0.99
0.7300000000000003,-0.11,0.87
0.6100000000000002,-0.02,1.02
0.8200000000000004,-0.05,0.93
0.7900000000000004,-0.08,1.02
0.7300000000000003,0.0399999999999999,0.93
0.7900000000000004,0.0099999999999999,0.96
0.7900000000000004,-0.05,0.87
0.7900000000000004,0.0099999999999999,1.0500000000000005
0.7000000000000003,0.0399999999999999,0.87
0.6700000000000003,-0.08,0.87
0.6400000000000002,-0.02,0.99
0.8800000000000004,-0.02,1.0500000000000005
1.0900000000000007,-0.05,0.87
1.0000000000000004,-0.11,0.87
0.7600000000000003,0.0099999999999999,0.9
0.5200000000000001,0.0099999999999999,0.93
0.7600000000000003,0.0999999999999999,0.96
0.5200000000000001,-0.05,0.93
1.0000000000000004,0.0399999999999999,0.93
0.9100000000000004,-0.02,1.02
0.9400000000000004,0.0099999999999999,0.96
0.6100000000000002,-0.02,0.93
0.9400000000000004,-0.05,0.96
0.9400000000000004,0.0099999999999999,1.0500000000000005
0.8200000000000004,0.0099999999999999,0.9
0.7900000000000004,-0.08,0.93
0.7000000000000003,-0.08,0.96
0.8200000000000004,0.0999999999999999,0.96
0.9100000000000004,0.07,0.87
0.6700000000000003,-0.11,0.93
0.7900000000000004,0.07,1.02
0.9100000000000004,0.0099999999999999,0.9
0.5200000000000001,-0.08,0.9
0.7600000000000003,0.07,0.99
0.7900000000000004,0.0999999999999999,0.9
0.6400000000000002,-0.02,0.87
0.4600000000000001,0.07,0.87
0.9700000000000004,0.07,0.87
0.6700000000000003,0.07,0.96
0.8500000000000004,0.0399999999999999,0.87
0.9700000000000004,0.0099999999999999,0.9
0.8200000000000004,-0.08,0.87
0.8500000000000004,-0.05,0.9
0.9700000000000004,-0.05,0.9
0.8200000000000004,0.07,0.99
0.9100000000000004,-0.02,0.93
0.4900000000000001,0.07,0.9
0.7000000000000003,-0.11,0.93
0.7600000000000003,0.0099999999999999,1.08
0.5800000000000002,-0.02,1.02
0.7300000000000003,-0.11,0.96
0.9400000000000004,0.0999999999999999,0.9
0.7900000000000004,-0.05,0.96
0.4900000000000001,-0.02,0.96
0.6700000000000003,0.0399999999999999,0.87
1.0300000000000007,0.0099999999999999,0.9
0.8500000000000004,-0.08,0.87
0.9700000000000004,-0.08,0.87
0.7000000000000003,0.0399999999999999,0.96
0.6700000000000003,-0.08,0.96
0.7600000000000003,0.07,0.87
0.5200000000000001,0.07,0.9
0.4900000000000001,0.0099999999999999,0.93
0.7600000000000003,0.0099999999999999,0.99
0.7900000000000004,-0.02,0.99
0.6400000000000002,0.0099999999999999,1.0500000000000005
0.9100000000000004,0.0999999999999999,0.93
0.8800000000000004,-0.02,1.02
0.4600000000000001,0.0099999999999999,0.87
1.0300000000000007,-0.02,0.93
0.8200000000000004,0.07,0.87
0.8200000000000004,0.0099999999999999,0.99
0.8200000000000004,-0.05,0.9
0.5500000000000002,-0.02,0.87
0.6400000000000002,0.07,0.9
0.9100000000000004,0.07,0.96
0.9400000000000004,0.0099999999999999,1.02
0.9400000000000004,-0.05,1.02
0.9100000000000004,0.0099999999999999,0.99
0.7600000000000003,-0.05,0.9
0.8800000000000004,0.1299999999999999,0.9
0.7900000000000004,0.0099999999999999,0.93
1.0900000000000007,-0.02,0.96
0.7900000000000004,0.0999999999999999,0.99
0.6100000000000002,0.1299999999999999,0.87
0.6400000000000002,-0.02,0.96
0.9700000000000004,0.07,0.96
0.8500000000000004,0.0399999999999999,0.96
0.9700000000000004,0.0099999999999999,0.99
0.8200000000000004,-0.08,0.96
0.7600000000000003,0.0099999999999999,0.87
0.8500000000000004,-0.05,0.99
0.9700000000000004,-0.05,0.99
0.8800000000000004,-0.02,0.93
0.8500000000000004,0.0399999999999999,1.0500000000000005
0.6400000000000002,0.0999999999999999,0.9
0.9100000000000004,-0.05,0.9
0.7600000000000003,0.0999999999999999,0.93
0.6100000000000002,-0.02,0.9
0.9400000000000004,0.0099999999999999,0.93
0.7900000000000004,-0.08,0.9
0.9400000000000004,-0.05,0.93
0.6700000000000003,0.0399999999999999,0.96
0.6700000000000003,-0.11,0.9
0.8500000000000004,-0.08,0.96
0.9100000000000004,0.0099999999999999,0.87
0.5200000000000001,-0.08,0.87
0.6700000000000003,0.0399999999999999,1.0500000000000005
0.7600000000000003,0.07,0.96
0.4900000000000001,-0.05,0.93
0.9700000000000004,0.0099999999999999,0.87
0.8800000000000004,-0.14,0.9
0.9400000000000004,-0.08,0.9
0.9700000000000004,-0.05,0.87
0.4600000000000001,-0.05,0.87
0.8200000000000004,0.07,0.96
1.0600000000000005,-0.02,0.96
0.4900000000000001,0.07,0.87
0.6400000000000002,0.0099999999999999,1.02
0.7000000000000003,-0.11,0.9
0.6400000000000002,-0.05,1.02
0.8200000000000004,-0.05,0.99
0.8500000000000004,-0.11,0.93
0.7300000000000003,0.0399999999999999,0.99
0.9400000000000004,0.0999999999999999,0.87
0.7600000000000003,0.0399999999999999,1.0500000000000005
0.7900000000000004,0.07,0.9
0.7600000000000003,-0.05,0.99
1.0300000000000007,0.0099999999999999,0.87
0.6100000000000002,0.07,0.93
0.4900000000000001,0.0099999999999999,0.9
0.7600000000000003,0.0099999999999999,0.96
0.5200000000000001,0.0099999999999999,0.99
0.8200000000000004,0.0399999999999999,1.0500000000000005
0.9100000000000004,0.0999999999999999,0.9
1.0900000000000007,0.0099999999999999,0.93
1.0300000000000007,-0.02,0.9
0.5800000000000002,-0.02,0.9
0.8500000000000004,0.0399999999999999,1.02
0.6100000000000002,-0.02,0.99
0.7900000000000004,0.0399999999999999,0.9
0.6100000000000002,0.0099999999999999,0.87
0.7900000000000004,-0.08,0.99
0.6100000000000002,-0.05,0.87
0.7300000000000003,0.1299999999999999,0.87
0.6400000000000002,0.07,0.87
0.5200000000000001,0.0399999999999999,0.87
0.6100000000000002,0.0999999999999999,0.93
0.9100000000000004,0.0099999999999999,0.96
0.8800000000000004,0.1299999999999999,0.87
0.6400000000000002,0.1299999999999999,0.9
0.7600000000000003,-0.05,0.87
0.6700000000000003,0.0399999999999999,1.02
0.9700000000000004,0.0099999999999999,0.96
0.8800000000000004,-0.02,0.9
0.6400000000000002,-0.02,0.93
0.9700000000000004,-0.05,0.96
0.9700000000000004,0.07,0.93
0.9100000000000004,-0.02,0.99
0.8500000000000004,0.0399999999999999,0.93
0.6400000000000002,0.0999999999999999,0.87
0.8200000000000004,-0.08,0.93
0.9100000000000004,-0.05,0.87
0.9400000000000004,0.0099999999999999,0.9
0.7900000000000004,-0.08,0.87
0.9100000000000004,-0.08,0.93
0.9400000000000004,-0.05,0.9
1.0000000000000004,-0.02,0.9
0.7900000000000004,0.07,0.99
1.0300000000000007,0.0099999999999999,0.96
0.6700000000000003,-0.11,0.87
0.5500000000000002,-0.02,1.02
0.7600000000000003,0.0399999999999999,1.02
0.5800000000000002,0.0099999999999999,1.0500000000000005
0.8200000000000004,-0.11,0.9
0.6700000000000003,0.0399999999999999,0.93
0.8500000000000004,-0.08,0.93
0.9700000000000004,-0.08,0.93
0.4900000000000001,0.0099999999999999,0.99
0.7600000000000003,0.07,0.93
0.9400000000000004,-0.08,0.87
0.8800000000000004,-0.14,0.87
1.0300000000000007,-0.02,0.99
0.8200000000000004,0.0399999999999999,1.02
0.5800000000000002,-0.02,0.99
1.0300000000000007,-0.05,0.87
0.8800000000000004,-0.02,1.08
0.4600000000000001,0.0099999999999999,0.93
0.6100000000000002,0.0099999999999999,1.0500000000000005
0.9100000000000004,0.0399999999999999,1.02
0.8500000000000004,-0.11,0.9
0.6400000000000002,0.07,0.96
0.7600000000000003,-0.08,1.02
1.0600000000000005,-0.02,0.93
0.5200000000000001,0.0399999999999999,0.96
0.7600000000000003,-0.05,0.96
0.5500000000000002,-0.02,0.93
0.7000000000000003,-0.02,1.0500000000000005
0.7600000000000003,0.0399999999999999,0.93
0.7900000000000004,0.0099999999999999,0.99
0.6100000000000002,0.07,0.9
0.4900000000000001,0.0099999999999999,0.87
0.5800000000000002,0.0999999999999999,0.9
1.0900000000000007,0.0099999999999999,0.9
0.8200000000000004,0.0399999999999999,0.93
0.8800000000000004,0.0099999999999999,0.87
1.0900000000000007,-0.05,0.9
0.6400000000000002,0.0999999999999999,0.96
0.6400000000000002,-0.05,0.9
0.5800000000000002,-0.02,0.87
0.8800000000000004,-0.05,0.87
0.9100000000000004,-0.05,0.96
0.6100000000000002,-0.02,0.96
0.7600000000000003,-0.08,0.93
0.8800000000000004,0.0999999999999999,0.93
0.9400000000000004,0.0099999999999999,0.99
0.7900000000000004,-0.08,0.96
0.9400000000000004,-0.05,0.99
0.9700000000000004,-0.11,0.87
0.6700000000000003,-0.11,0.96
0.6100000000000002,0.0999999999999999,0.9
0.9100000000000004,0.07,0.9
0.9400000000000004,0.0399999999999999,0.87
0.5800000000000002,0.0099999999999999,1.02
0.9700000000000004,0.07,0.9
0.7900000000000004,-0.11,0.93
0.7000000000000003,-0.11,0.96
0.6700000000000003,-0.02,1.02
0.8200000000000004,-0.08,0.9
0.6400000000000002,0.0099999999999999,1.08
1.0600000000000005,0.0099999999999999,0.9
0.9100000000000004,-0.08,0.9
1.0600000000000005,-0.05,0.9
1.0000000000000004,-0.02,0.87
0.6100000000000002,0.0099999999999999,1.02
0.7300000000000003,-0.02,1.08
0.6100000000000002,-0.05,1.02
1.0300000000000007,0.07,0.9
0.5800000000000002,0.07,0.9
0.8200000000000004,-0.11,0.87
0.6100000000000002,0.07,0.99
0.7000000000000003,-0.02,1.02
1.0300000000000007,0.0099999999999999,0.93
0.5800000000000002,0.0099999999999999,0.93
0.4900000000000001,0.0099999999999999,0.96
0.9700000000000004,-0.08,0.9
0.7300000000000003,0.0099999999999999,1.0500000000000005
0.7300000000000003,-0.05,1.0500000000000005
0.8800000000000004,0.0099999999999999,0.96
0.6400000000000002,0.0099999999999999,0.99
1.0300000000000007,-0.02,0.96
0.8800000000000004,-0.05,0.96
0.8800000000000004,0.0099999999999999,1.0500000000000005
0.6400000000000002,0.0399999999999999,1.0500000000000005
0.5800000000000002,-0.02,0.96
0.6400000000000002,-0.05,0.99
0.8800000000000004,-0.05,1.0500000000000005
0.7900000000000004,0.0399999999999999,0.96
0.7900000000000004,0.0399999999999999,1.0500000000000005
0.7000000000000003,-0.14,0.87
0.8500000000000004,-0.11,0.87
0.6100000000000002,0.0099999999999999,0.93
0.9100000000000004,-0.05,1.02
1.0900000000000007,0.0399999999999999,0.87
0.6100000000000002,-0.05,0.93
0.5500000000000002,-0.02,0.9
0.7300000000000003,0.1299999999999999,0.93
0.6400000000000002,0.07,0.93
0.9100000000000004,0.07,0.99
0.7600000000000003,0.0399999999999999,0.9
0.5200000000000001,0.0399999999999999,0.93
0.7000000000000003,-0.02,0.93
0.7600000000000003,-0.05,0.93
0.6100000000000002,0.07,0.87
0.9400000000000004,-0.11,0.9
0.5800000000000002,0.0999999999999999,0.87
0.8800000000000004,-0.02,0.96
0.8200000000000004,0.0399999999999999,0.9
0.6400000000000002,0.0099999999999999,0.87
0.8500000000000004,0.0399999999999999,0.99
0.8200000000000004,-0.08,0.99
0.6400000000000002,-0.05,0.87
0.9100000000000004,0.0399999999999999,0.9
0.7600000000000003,-0.08,0.9
0.8800000000000004,0.0999999999999999,0.9
0.6400000000000002,0.0999999999999999,0.93
0.7300000000000003,-0.02,0.87
0.9100000000000004,-0.05,0.93
0.9100000000000004,-0.08,0.99
1.0000000000000004,-0.02,0.96
0.6100000000000002,0.0999999999999999,0.87
0.9700000000000004,0.0399999999999999,0.9
0.8200000000000004,-0.11,0.96
0.6700000000000003,0.0399999999999999,0.99
0.8500000000000004,-0.08,0.99
0.7600000000000003,-0.11,0.87
0.8500000000000004,0.1299999999999999,0.87
0.7300000000000003,0.0099999999999999,1.02
0.5500000000000002,0.07,0.93
0.7900000000000004,-0.11,0.9
0.7300000000000003,-0.05,1.02
0.7300000000000003,0.0999999999999999,0.87
0.9400000000000004,-0.08,0.93
0.8800000000000004,0.0099999999999999,1.02
0.6400000000000002,0.0399999999999999,1.02
1.0600000000000005,-0.02,0.99
0.8500000000000004,-0.11,0.96
0.8800000000000004,-0.05,1.02
1.0300000000000007,-0.05,0.93
1.0600000000000005,0.0099999999999999,0.87
0.9100000000000004,-0.08,0.87
1.0600000000000005,-0.05,0.87
0.7900000000000004,0.0399999999999999,1.02
0.5500000000000002,-0.02,0.99
0.4900000000000001,0.0399999999999999,0.93
0.5500000000000002,0.0099999999999999,0.87
0.7600000000000003,0.0399999999999999,0.99
0.5500000000000002,-0.05,0.87
0.6700000000000003,0.1299999999999999,0.87
1.0300000000000007,0.07,0.87
0.5800000000000002,0.07,0.87
0.6100000000000002,0.07,0.96
0.4600000000000001,0.0399999999999999,0.87
0.5800000000000002,0.0099999999999999,0.9
1.0300000000000007,-0.08,0.9
0.8200000000000004,0.0399999999999999,0.99
0.6400000000000002,0.0099999999999999,0.96
0.7300000000000003,-0.14,0.9
0.6700000000000003,-0.02,0.9
0.8800000000000004,0.07,0.9
0.6400000000000002,-0.05,0.96
0.6400000000000002,0.0399999999999999,0.93
0.9100000000000004,0.0399999999999999,0.99
0.9100000000000004,-0.11,0.93
0.7600000000000003,-0.08,0.99
0.8800000000000004,0.0099999999999999,0.93
0.7300000000000003,-0.02,0.96
0.7000000000000003,0.1299999999999999,0.87
0.8800000000000004,-0.05,0.93
0.5800000000000002,-0.02,0.93
0.7300000000000003,-0.02,1.0500000000000005
0.7900000000000004,0.0399999999999999,0.93
0.6100000000000002,0.0099999999999999,0.9
0.6100000000000002,-0.05,0.9
0.7300000000000003,0.1299999999999999,0.9
0.9700000000000004,0.0399999999999999,0.99
0.7600000000000003,0.0399999999999999,0.87
0.5200000000000001,0.0399999999999999,0.9
1.0000000000000004,-0.02,1.02
0.7000000000000003,-0.02,0.9
0.8800000000000004,-0.08,0.9
0.9400000000000004,-0.11,0.87
0.6400000000000002,-0.08,0.93
1.0000000000000004,0.07,0.87
0.8200000000000004,0.0399999999999999,0.87
0.9400000000000004,0.0399999999999999,0.93
0.6100000000000002,-0.08,0.87
0.9100000000000004,0.0399999999999999,0.87
0.7600000000000003,-0.08,0.87
0.7000000000000003,0.07,1.02
0.6700000000000003,-0.02,1.08
1.0600000000000005,0.0099999999999999,0.96
0.8800000000000004,0.0999999999999999,0.87
0.9100000000000004,-0.08,0.96
0.7000000000000003,0.0999999999999999,0.9
0.5500000000000002,0.0099999999999999,1.0500000000000005
1.0000000000000004,-0.02,0.93
0.5800000000000002,0.07,0.96
0.9700000000000004,0.0399999999999999,0.87
1.0300000000000007,0.0099999999999999,0.99
0.9700000000000004,-0.08,0.96
1.0000000000000004,0.0999999999999999,0.87
0.5800000000000002,0.0099999999999999,0.99
0.8200000000000004,-0.11,0.93
0.7000000000000003,-0.02,1.08
0.8800000000000004,0.07,0.99
1.1200000000000006,-0.02,0.9
0.5500000000000002,0.07,0.9
0.7900000000000004,-0.11,0.87
0.7000000000000003,0.0099999999999999,1.0500000000000005
1.0300000000000007,0.0399999999999999,0.87
1.0300000000000007,-0.05,0.9
0.6100000000000002,0.0099999999999999,0.99
0.6100000000000002,-0.05,0.99
0.5500000000000002,-0.02,0.96
0.6400000000000002,0.07,0.99
0.4900000000000001,0.0399999999999999,0.9
0.7300000000000003,-0.02,1.02
0.7600000000000003,0.0399999999999999,0.96
0.5200000000000001,0.0399999999999999,0.99
0.7000000000000003,-0.02,0.99
0.5800000000000002,0.0099999999999999,0.87
0.5500000000000002,0.0999999999999999,0.9
0.7300000000000003,0.07,0.87
1.0300000000000007,-0.08,0.87
0.8200000000000004,0.0399999999999999,0.96
0.7300000000000003,0.0099999999999999,0.9
0.43,-0.02,0.87
0.6100000000000002,-0.08,0.96
0.7300000000000003,-0.14,0.87
0.6700000000000003,-0.02,0.87
0.8800000000000004,0.07,0.87
0.7300000000000003,-0.05,0.9
0.5800000000000002,0.0999999999999999,0.93
0.8800000000000004,0.0099999999999999,0.9
0.6400000000000002,0.0399999999999999,0.9
0.6400000000000002,0.0099999999999999,0.93
0.9100000000000004,-0.11,0.9
0.8800000000000004,0.0999999999999999,0.96
0.9100000000000004,0.0399999999999999,0.96
0.6400000000000002,-0.05,0.93
0.7600000000000003,-0.08,0.96
